TC ID,Module,Description,Pre-condition,Steps,Expected Result,Actual Result,Bug ID,Automation Tool,Test Script Path,Test Type,Tags,Priority
TC_BRAND_001,Brands page verification,"Navigate to Manage > Brands; verify ""Manage brand"" heading and play button visible.",Login.,"1. Click Manage > Brands. 2. Verify heading ""Manage brand"" visible. 3. Verify play button visible.",Header and play button visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Navigate to Brands and verify header: Manage brand text and play button,Automated,"@brands,@manage,@smoke",P1
TC_BRAND_002,Brands page verification,"Hover play button; verify link/tooltip ""How to Add and Manage Brands in the Affnook Panel"".",Login. On Brands page.,1. Hover play button. 2. Verify link or tooltip text.,Link/tooltip visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Hover play button: link/tooltip How to Add and Manage Brands...,Automated,"@brands,@manage",P1
TC_BRAND_003,Brands page verification,"Click play link; video modal opens with header ""How to Add and Manage Brands...""; play video then close.",Login. On Brands page.,1. Click play link. 2. Verify modal header. 3. Play video. 4. Close modal.,Video modal opens and closes.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Click play link: video modal opens with header; verify and close,Automated,"@brands,@manage",P1
TC_BRAND_004,Brands page verification,Verify tabs: All Brands and All Products.,Login. On Brands page.,"1. Verify tab ""All Brands"" visible. 2. Verify tab ""All Products"" visible.",Both tabs visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Verify tabs: All Brands and All Products,Automated,"@brands,@manage",P1
TC_BRAND_005,Brands page verification,"Verify ""How To Add Brands?"" heading and description text.",Login. On Brands page.,"1. Verify heading ""How To Add Brands?"". 2. Verify description text.",Heading and description visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Verify How To Add Brands? block and description text,Automated,"@brands,@manage",P1
TC_BRAND_006,Brands page verification,Click close (cross) on How To Add Brands block.,Login. On Brands page.,1. Verify close button visible. 2. Click close. 3. Verify block hidden.,Block closes.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Click close on How To Add Brands block,Automated,"@brands,@manage",P1
TC_BRAND_007,Brands page verification,Verify brands count (e.g. 432) Filter button and + Add brand button.,Login. On Brands page.,1. Verify count number visible. 2. Verify Filter button. 3. Verify + Add brand button.,Count Filter and Add brand visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Verify brands count Filter button and Add brand button,Automated,"@brands,@manage",P1
TC_BRAND_008,Brands page verification,Open filter and verify filter panel/field names.,Login. On Brands page.,1. Click Filter. 2. Verify filter panel opens. 3. Verify filter fields present.,Filter panel opens with fields.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Open filter and verify filter panel has form fields,Automated,"@brands,@manage",P1
TC_BRAND_009,Brands page verification,Verify table columns: NAME CONTACT DETAILS COMPANY STATUS GEO CREATED ON ACTIONS.,Login. On Brands page.,1. Verify each column header visible.,All column headers visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Verify table columns: NAME CONTACT DETAILS...,Automated,"@brands,@manage",P1
TC_BRAND_010,Brands page verification,Verify table has at least one row with brand name ID and Manage action.,Login. On Brands page.,1. Verify at least one table row. 2. Verify row has ID. 3. Verify row has Manage.,Table shows brand data and Manage.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brands page verification » Verify table has at least one row with brand name ID and Manage,Automated,"@brands,@manage",P1
TC_BRAND_011,Brand CRUD,Create: Add new brand and verify it appears in table.,Login. On Brands page.,1. Click + Add brand. 2. Fill name and email. 3. Submit. 4. Verify new brand row in table.,New brand appears in table.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brand CRUD » Create: Add new brand and verify it appears in table,Automated,"@brands,@crud,@manage",P1
TC_BRAND_012,Brand CRUD,Read: Open Manage on first row and verify detail/navigation.,Login. On Brands page.,1. Click Manage on first row. 2. Verify detail page or content loads.,Manage opens; content visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brand CRUD » Read: Open Manage on first row and verify detail or navigation,Automated,"@brands,@crud,@manage",P1
TC_BRAND_013,Brand CRUD,Brand detail: Open brand and verify all sections (Manage Brands Basic Details Name Status Email Contact + View More Company Details Company Name Website Country Address Zip Code Tax ID Account Manager Note Report Settings Add New Note).,Login. A brand exists (e.g. created in Create test).,1. Open brand via Manage. 2. Verify heading Manage Brands and brand name. 3. Verify Basic Details: Name Status Email Contact + View More. 4. Verify Company Details: Company Name Website Country Address Zip Code Tax ID Account Manager. 5. Verify Note Report Settings Add New Note / Enter any additional notes.,All detail sections and labels visible.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brand CRUD » Brand detail: Open brand and verify all detail page sections,Automated,"@brands,@crud,@manage",P1
TC_BRAND_014,Brand CRUD,Edit: Update brand (e.g. note) and save.,Login. Brand detail page.,1. Open brand. 2. Click Edit. 3. Change note (or other field). 4. Save. 5. Verify success.,Brand updated successfully.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brand CRUD » Edit: Update brand note and save,Automated,"@brands,@crud,@manage",P1
TC_BRAND_015,Brand CRUD,Delete: Delete brand and verify removed from list.,Login. Brand detail page for a test brand.,1. Open brand. 2. Click Delete. 3. Confirm. 4. Verify back on list and brand no longer visible.,Brand deleted; list updated.,To be filled,To be filled,Playwright,tests/e2e/brands.spec.ts » Brand CRUD » Delete: Delete the created brand and verify list,Automated,"@brands,@crud,@manage",P1
