Module,TC ID,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Bug ID
Featured Campaigns,FC-TC-001,Verify 'Featured Campaigns' tab loads correctly displaying the data grid,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-002,"Verify data table columns: Checkbox, CAMPAIGN DETAILS, VISIBILITY, CURRENCY, STATUS, CREATED ON, ACTIONS are visible",P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-003,Verify pagination elements are visible and functional,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-004,Verify 'Bulk Action' button and '+ Add Campaign' button are present and enabled,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-005,Verify clicking '+ Add Campaign' opens the 'Add Featured Campaign' modal,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-006,Verify 'Select Campaign' input field allows searching campaigns by name or ID,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-007,Verify dropdown lists campaigns with format '(ID: xxx) name',P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-008,Verify selecting a campaign and clicking 'Submit' adds it to the featured list,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-009,Verify attempting to submit without selecting a campaign shows appropriate validation error,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-010,Verify closing the modal without submitting does not add the campaign,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-011,Verify clicking the 'Trash' icon under ACTIONS opens the 'Remove Featured' confirmation popover,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-012,Verify the confirmation popover displays 'Are you sure you want to continue ?' with 'No' and 'Remove' buttons,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-013,Verify clicking 'No' closes the popover without removing the campaign,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-014,Verify clicking 'Remove' successfully removes the campaign from the featured list,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-015,Verify 'Bulk Action' button is disabled or indicates no action when no checkboxes are selected,P2,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-016,Verify selecting one or more checkboxes and clicking 'Bulk Action' displays the 'Remove' option,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-017,Verify selecting 'Remove' from Bulk Action triggers a confirmation process,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-018,Verify confirming the Bulk Remove action successfully removes all selected campaigns from the featured list,P0,Execute step per TC description,System behaves as expected without errors.,,Pending,
Featured Campaigns,FC-TC-019,Verify the 'Select All' checkbox in the header selects/deselects all rows on the current page,P1,Execute step per TC description,System behaves as expected without errors.,,Pending,
